Aug 14 21:46:05.007 INFO Logging to file                         path: "/data/FULLNODE/FULLNODE/lighthouse/beacon/logs/beacon.log"
Aug 14 21:48:36.986 WARN Not enough time for a discovery search  subnet_id: ExactSubnet { subnet_id: SubnetId(51), slot: Slot(2314116) }, service: attestation_service
Aug 14 21:48:36.986 WARN Not enough time for a discovery search  subnet_id: ExactSubnet { subnet_id: SubnetId(4), slot: Slot(2314137) }, service: attestation_service
Aug 14 21:48:36.986 WARN Not enough time for a discovery search  subnet_id: ExactSubnet { subnet_id: SubnetId(2), slot: Slot(2314144) }, service: attestation_service
Aug 14 21:48:36.986 WARN Not enough time for a discovery search  subnet_id: ExactSubnet { subnet_id: SubnetId(13), slot: Slot(2314129) }, service: attestation_service
Aug 14 21:48:36.986 WARN Not enough time for a discovery search  subnet_id: ExactSubnet { subnet_id: SubnetId(38), slot: Slot(2314140) }, service: attestation_service
Aug 14 21:48:36.986 WARN Not enough time for a discovery search  subnet_id: ExactSubnet { subnet_id: SubnetId(41), slot: Slot(2314138) }, service: attestation_service
Aug 14 21:48:36.986 WARN Not enough time for a discovery search  subnet_id: ExactSubnet { subnet_id: SubnetId(12), slot: Slot(2314135) }, service: attestation_service
Aug 14 21:48:37.652 INFO Address updated                         udp_port: 9000, ip: 150.136.125.28, service: libp2p
Aug 14 21:48:42.001 INFO Syncing                                 est_time: --, distance: 51 slots (10 mins), peers: 5, service: slot_notifier
Aug 14 21:48:42.094 INFO Could not UPnP map Discovery port       error: Gateway does not support UPnP
Aug 14 21:48:42.101 INFO UPnP not available                      service: libp2p
Aug 14 21:48:44.138 ERRO Error during execution engine upcheck   error: HttpClient(url: http://127.0.0.1:8551/, kind: request, detail: error trying to connect: tcp connect error: Connection refused (os error 111)), service: exec
Aug 14 21:48:54.001 INFO Syncing                                 est_time: --, distance: 52 slots (10 mins), peers: 16, service: slot_notifier
Aug 14 21:48:56.140 ERRO Error during execution engine upcheck   error: HttpClient(url: http://127.0.0.1:8551/, kind: request, detail: error trying to connect: tcp connect error: Connection refused (os error 111)), service: exec
Aug 14 21:49:06.001 INFO Syncing                                 est_time: --, distance: 53 slots (10 mins), peers: 24, service: slot_notifier
Aug 14 21:49:08.141 ERRO Error during execution engine upcheck   error: HttpClient(url: http://127.0.0.1:8551/, kind: request, detail: error trying to connect: tcp connect error: Connection refused (os error 111)), service: exec
Aug 14 21:49:18.001 INFO Syncing                                 est_time: --, distance: 54 slots (10 mins), peers: 36, service: slot_notifier
